Sujet	Prédicat	Objet
<http://viaf.org/viaf/66462281>	foaf:publications	wikidata:Q798026
<http://viaf.org/viaf/298310776>	schema:knows	wikidata:Q1235482
<http://viaf.org/viaf/100226923>	schema:member	wikidata:Q122166
<http://viaf.org/viaf/286265178>	schema:birthPlace	<http://pleiades.stoa.org/places/423025>
<http://viaf.org/viaf/100226923>	schema:about	wikidata:Q48235
<http://viaf.org/viaf/100219060>	schema:birthDate	-100
<http://viaf.org/viaf/18013086>	schema:hasOccupation	wikidata:Q725434
<viaf.org/viaf/78769600>	wikidataProp:P26	wikidata:Q435936
<http://viaf.org/viaf/100227522>	schema:performerIn	wikidata:Q160387
<http://viaf.org/viaf/88342447>	schema:spouse	Fabia
<http://viaf.org/viaf/298310776>	schema:deathDate	-54
<viaf.org/viaf/78769600>	wikidata:Q289891	wikidata:Q1048
<http://viaf.org/viaf/8099277>	dbpedia:birthDate	40
<http://viaf.org/viaf/305991465>	dc:creator	<http://viaf.org/viaf/8099277>
<http://pleiades.stoa.org/places/423025>	dbpedia:politicalLeader	<http://viaf.org/viaf/18013086>
<http://viaf.org/viaf/88342447>	schema:relatedTo	wikidata:Q1405
<http://viaf.org/viaf/183081221>	dc:creator	<http://viaf.org/viaf/8194433>
<http://viaf.org/viaf/8194433>	schema:birthDate	-70
<http://viaf.org/viaf/10638270>	schema:deathPlace	<http://pleiades.stoa.org/places/981512>
<http://viaf.org/viaf/66462281>	foaf:name	Titus Maccius Plautus
<http://viaf.org/viaf/8099277>	schema:memberOf	wikidata:Q122166
<http://viaf.org/viaf/10638270>	schema:familyName	<http://viaf.org/viaf/316584858>
<http://viaf.org/viaf/83985148>	schema:birthPlace	<http://pleiades.stoa.org/places/432695>
<http://viaf.org/viaf/298310776>	schema:knows	<http://viaf.org/viaf/78769600>
<http://viaf.org/viaf/8099277>	dbpedia:birthPlace	<http://pleiades.stoa.org/places/981551>
<http://viaf.org/viaf/298310776>	schema:knows	<http://viaf.org/viaf/32386508>
<http://viaf.org/viaf/90637919>	foaf:publications	wikidata:Q3332727
<http://viaf.org/viaf/298310776>	schema:birthDate	-84
