Source	Label	Target
https://viaf.org/viaf/40305158	http://schema.org/spouse	https://viaf.org/viaf/10638270	
https://viaf.org/viaf/10638270	http://schema.org/additionalName	https://viaf.org/viaf/10638270	
https://viaf.org/viaf/8194433	http://xmlns.com/foaf/0.1/name	Virgile	fre
https://viaf.org/viaf/8194433	http://xmlns.com/foaf/0.1/name	Publius	Vergilius	Maro	lat
https://viaf.org/viaf/8194433	http://schema.org/hasOccupation	https://www.wikidata.org/wiki/Q482	
https://viaf.org/viaf/313680866	http://purl.org/dc/elements/1.1/creator	https://viaf.org/viaf/8194433	
https://viaf.org/viaf/8194433	http://schema.org/birthPlace	https://pleiades.stoa.org/places/383570	
https://viaf.org/viaf/8194433	http://schema.org/deathPlace	https://pleiades.stoa.org/places/442509	
https://viaf.org/viaf/8194433	http://schema.org/birthDate	-70	
https://viaf.org/viaf/8194433	http://schema.org/deathDate	-19	
https://viaf.org/viaf/8194433	http://xmlns.com/foaf/0.1/knows	https://viaf.org/viaf/298310776	
https://viaf.org/viaf/313680866	http://schema.org/editor	https://viaf.org/viaf/50018621	
https://viaf.org/viaf/8194433	http://xmlns.com/foaf/0.1/knows	https://viaf.org/viaf/100227522	
https://viaf.org/viaf/36906810	http://schema.org/sponsor	https://viaf.org/viaf/8194433	
https://viaf.org/viaf/18013086	http://schema.org/sponsor	https://viaf.org/viaf/8194433	
https://viaf.org/viaf/8194433	http://schema.org/nationality	https://www.wikidata.org/wiki/Q2277	
https://viaf.org/viaf/8194433	http://xmlns.com/foaf/0.1/knows	https://viaf.org/viaf/11381108	
https://viaf.org/viaf/183081221	http://purl.org/dc/elements/1.1/creator	https://viaf.org/viaf/8194433	
https://viaf.org/viaf/248145424558486830832	http://purl.org/dc/elements/1.1/creator	https://viaf.org/viaf/8194433	
https://viaf.org/viaf/8194433	http://schema.org/TravelAction	https://pleiades.stoa.org/places/579885	
https://viaf.org/viaf/8194433	http://xmlns.com/foaf/0.1/topic_interest	https://www.wikidata.org/wiki/Q5891	
https://viaf.org/viaf/8194433	http://xmlns.com/foaf/0.1/topic_interest	https://www.wikidata.org/wiki/Q395	
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/name	Plaute	fre
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/name	Titus	Maccius	Plautus	lat
https://viaf.org/viaf/66462281	http://schema.org/birthDate	-254	
https://viaf.org/viaf/66462281	http://schema.org/deathDate	-184	
https://viaf.org/viaf/66462281	http://schema.org/birthPlace	https://pleiades.stoa.org/places/413306	
https://viaf.org/viaf/66462281	http://schema.org/deathDate	https://pleiades.stoa.org/places/423025	
https://www.wikidata.org/wiki/Q1234585	http://xmlns.com/foaf/0.1/publications	https://viaf.org/viaf/66462281	
https://viaf.org/viaf/66462281	http://schema.org/hasOccupation	https://www.wikidata.org/wiki/Q482980	
https://viaf.org/viaf/66462281	http://schema.org/hasOccupation	https://www.wikidata.org/wiki/Q154549	
https://viaf.org/viaf/66462281	http://schema.org/hasOccupation	https://www.wikidata.org/wiki/Q500251	
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/publications	https://www.wikidata.org/wiki/Q798026	
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/publications	https://www.wikidata.org/wiki/Q2523113	
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/publications	https://viaf.org/viaf/177333620/	
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/publications	https://viaf.org/viaf/176788865/	
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/publications	https://viaf.org/viaf/174822889/	
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/publications	https://viaf.org/viaf/181526271/	
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/publications	https://viaf.org/viaf/186138325/	
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/publications	https://viaf.org/viaf/275023762/	
https://viaf.org/viaf/66462281	http://xmlns.com/foaf/0.1/publications	https://viaf.org/viaf/273381689/	
viaf:8099277	foaf:name	"Martial"	fre
viaf:8099277	foaf:name	"Marcus	Valerius	Martialis"	lat
viaf:8099277	dc:identifier	urn:cts:latinLit:phi1294	
viaf:8099277	dbpedia:birthDate	40	
viaf:8099277	dbpedia:deathDate	104	
viaf:305991465	dc:creator	viaf:8099277	
viaf:8099277	dbpedia:birthPlace	pleiades:246247	
viaf:8099277	dbpedia:deathPlace	pleiades:246247	
viaf:8099277	pschema:hasOccupation	wikidata:Q49757	
viaf:8099277	pschema:hasOccupation	wikidata:Q36180	
viaf:8099277	dbpedia:birthPlace	pleiades:1027	
viaf:8099277	dbpedia:birthPlace	pleiades:981551	
viaf:8099277	foaf:knows	viaf:90637919	
viaf:8099277	foaf:knows	viaf:10638270	
viaf:180555667	dc:identifier	viaf:8099277	
viaf:8099277	pschema:hasOccupation	wikidata:Q849288	
viaf:8099277	schema:memberOf	wikidata:Q122166	
viaf:8099277	schema:funder	viaf:96284078	
viaf:8099277	schema:funder	viaf:83217593	
viaf:8099277	dbpedia:memberFamily	wikidata:Q1429412	
viaf:8099277	schema:nationality	wikidata:Q1747689	
viaf:8099277	wikidata:Property:P1412	wikidata:Q397	
viaf:8099277	dbpedia:eponym	wikidata:Q15139124	
https://viaf.org/viaf/106388020	http://xmlns.com/foaf/0.1/name	Lucrèce	fre
https://viaf.org/viaf/106388020	http://xmlns.com/foaf/0.1/name	Titus	Lucretius	Carus	lat
https://viaf.org/viaf/106388020	http://xmlns.com/foaf/0.1/birthday	-94	
